Pavarde         Vardas         Galutinis (Vid.)  Galutinis (Med.)
Pavarde908123   Vardas232417   7.48              7.40              
Pavarde9082885  Vardas6955878  8.05              8.00              
Pavarde9083659  Vardas1862020  5.34              5.00              
Pavarde9101492  Vardas4150052  7.49              7.20              
Pavarde912844   Vardas4488968  7.20              6.80              
Pavarde9136022  Vardas5789254  7.28              8.00              
Pavarde9187353  Vardas786021   6.20              6.00              
Pavarde9204391  Vardas9771093  6.22              6.20              
Pavarde9209997  Vardas6502914  7.80              8.20              
Pavarde9212999  Vardas8175814  7.80              7.60              
Pavarde9242160  Vardas4195541  5.40              5.40              
Pavarde9284334  Vardas5696269  8.00              8.40              
Pavarde9294326  Vardas9882506  5.67              5.40              
Pavarde9294562  Vardas5984539  5.36              5.60              
Pavarde9297602  Vardas230867   7.87              7.60              
Pavarde9307621  Vardas9673491  6.45              6.60              
Pavarde9308346  Vardas3009644  5.70              5.80              
Pavarde9308757  Vardas3416864  7.00              6.80              
Pavarde9319012  Vardas7834725  6.35              6.80              
Pavarde9354934  Vardas3632934  7.67              7.60              
Pavarde9360318  Vardas2434759  6.08              6.20              
Pavarde936402   Vardas1642417  8.29              8.40              
Pavarde9380504  Vardas963583   6.56              6.40              
Pavarde9399589  Vardas9526289  7.65              7.60              
Pavarde9411584  Vardas2504541  5.40              5.40              
Pavarde9418773  Vardas2982897  5.69              5.80              
Pavarde9426622  Vardas9816331  7.04              7.00              
Pavarde9429960  Vardas6121525  7.25              7.00              
Pavarde9458209  Vardas1119598  5.29              5.40              
Pavarde9469936  Vardas4225907  6.30              6.40              
Pavarde9477703  Vardas2922739  5.80              5.80              
Pavarde9485300  Vardas3703697  6.14              6.40              
Pavarde9498917  Vardas9988968  6.30              6.40              
Pavarde950335   Vardas1135709  5.36              5.40              
Pavarde9508079  Vardas7916308  8.33              8.60              
Pavarde9513354  Vardas6990870  5.48              5.40              
Pavarde9522633  Vardas9422468  8.27              8.00              
Pavarde9524412  Vardas2927044  6.56              6.20              
Pavarde9536223  Vardas5693877  7.07              7.20              
Pavarde9545288  Vardas7731827  7.00              7.20              
Pavarde9559420  Vardas8908104  6.33              6.00              
Pavarde9579308  Vardas7174526  7.80              7.80              
Pavarde958850   Vardas7136144  7.27              7.60              
Pavarde9588621  Vardas7597884  7.10              6.60              
Pavarde959422   Vardas6162832  8.80              8.80              
Pavarde9596892  Vardas9456813  7.22              7.40              
Pavarde9602718  Vardas3734269  5.90              5.40              
Pavarde9611901  Vardas6903623  5.80              5.80              
Pavarde9738833  Vardas9235279  6.02              5.80              
Pavarde974023   Vardas36002    5.60              5.60              
Pavarde9860671  Vardas712530   8.03              8.00              
Pavarde9872258  Vardas6853227  6.31              6.40              
Pavarde988404   Vardas1054473  5.87              5.60              
Pavarde9888926  Vardas5947267  6.83              6.40              
Pavarde9894529  Vardas7522379  8.49              8.60              
Pavarde9894788  Vardas9776621  4.90              5.20              
Pavarde9896322  Vardas4681697  6.07              5.80              
Pavarde9899598  Vardas138312   5.91              5.80              
Pavarde9913494  Vardas9383183  5.70              5.00              
Pavarde9963880  Vardas2680273  8.72              8.40              
Pavarde9990504  Vardas2741248  8.73              9.00              
